ravindran-wedemeyer;When was the Siege of Mecca?;683;NUM:date;38214533;The Siege of Mecca in September–November 683 was one of the early battles of the Second Islamic Civil War.
elmas-hennig;About which animals did Barbara Wienecke wrote her honours thesis in Murdoch University?;Penguins;ENTY:animal;50718765;She has a Bachelor of Science degree from Murdoch University, where she completed an honours thesis on the penguins of Penguin Island, Western Australia.
benjabeur-reitz;In which continent is Eyres Bay?;Antarctica;LOC:other;16474718;Eyres Bay is a bay lying between the west side of Browning Peninsula and the front of Vanderford Glacier at the southern end of the Windmill Islands in Antarctica.
bauer-klamroth;When did Friedrich Wilhelm Heinrich Alexander von Humboldt die?;6 May 1859;NUM:date;70631;Friedrich Wilhelm Heinrich Alexander von Humboldt (14 September 1769 – 6 May 1859) was a Prussian geographer, naturalist, explorer, and influential proponent of Romantic philosophy and science.
ulges;Which term is defined as one's thoughts and feelings about one's self-concept and identity?;Self-esteem;ENTY:other;83859;Self-esteem is defined as one's thoughts and feelings about one's self-concept and identity.
Natuerliches Mineralwasser;At which University did Giovanni Lami study?;University of Pisa;LOC:other;21697911; Born at Santa Croce sull'Arno in 1697, he studied at the University of Pisa and obtained his doctorate of law in 1719.
ulges;How many places of higher learning are in Nanjing?;75;NUM:count;21791;There are 75 institutions of higher learning till 2013.
frehmann-kaminski;"In which year has the movie ""Time Bombs"" been released?";2008;NUM:date;13757752;"The movie ""Time Bombs"" was released in 2008."
Powerpuff Girls;Which book gives a detailed description about the afterlife?;Heaven and Hell;ENTY:cremat;2879636;Heaven and Hell is the common English title of a book written by Emanuel Swedenborg in Latin, published in 1758
maciejewska-maita;Who wrote The Holy Office?;James Joyce;HUM:ind;385405;"James Joyce's poem ""The Holy Office"" "
funk-jung;Who was the eight Govenor of India, United States?;James Whitcomb;HUM:ind;1802079;James Whitcomb (December 1, 1795 – October 4, 1852) was a Democratic United States Senator and the eighth Governor of Indiana.
Die eisernen Einhoerner;Who developed the Paula gas field?;Sterling Resources;HUM:gr;42408101;It was discovered in 2013 and developed by Sterling Resources.
kaiser-simkin;On which planet is Venera Terra located?;Pluto;LOC:other;47386433;Venera Terra /v\u0259\u02c8n\u026a\u0259r\u0259 \u02c8t\u025br\u0259/ is a landform on the dwarf planet Pluto, discovered by the New Horizons spacecraft
bauer-klamroth;Where was Claus Sluter born?;Haarlem;LOC:city;6586;Claus Sluter (1340s in Haarlem – 1405 or 1406 in Dijon) was a sculptor of Dutch origin.
davidoff-meyer;In what country is St. Helen's Gate?;Malta;LOC:country;51685981;St. Helen's Gate (Maltese: Il-Bieb ta' Santa Liena), also known as Porta dei Mortari, is the main gate of the Santa Margherita Lines, located in Cospicua, Malta.
ulges;Before insulin, what was the life expectancy of diabetics?;only a few months;NUM:count;560876;Prior to the discovery and widespread availability of insulin therapy the life expectancy of diabetics was only a few months.
ulges;The Laccifer lacca was crucial to making what pigment?;Red lac;ENTY:other;25825;Red lac was made from the gum lac, the dark red resinous substance secreted by various scale insects, particularly the Laccifer lacca from India.
ott-ragowski;In which country is the Messier Channel?;Chile;LOC:country;7845503;Messier Channel is a channel located in Patagonia, Chile.
ulges;who was the DJ at Amnesia in the mid 80s?;DJ Alfredo;HUM:ind;13930;[citation needed] Several clubs such as Amnesia with DJ Alfredo were playing a mix of rock, pop, disco and house.
ulges;When did Greece apply for ESA membership?;2003;NUM:date;12108;Having formally applied for full membership in 2003, Greece became the ESA's sixteenth member on 16 March 2005.
bauer-klamroth;When did Sydney Joseph Freedberg graduate?;1939;NUM:date;17524012;He graduated from Harvard College in 1939, and acquired a doctoral degree a year later.
ulges;What churches let their clergy marry?;Protestant;HUM:gr;25814008;Protestant churches reject the idea of a celibate priesthood and thus allow their clergy to marry.
Die eisernen Einhoerner;Who discovered 7204 Ondřejov?;Petr Pravec;HUM:ind;17477649;It was discovered on 3 April 1995, by Czech astronomer Petr Pravec at Ondřejov Observatory near Prague, Czech Republic.
ulges;When was Euclid born?;325;NUM:date;455379;Hellenistic Geometers such as Archimedes (c. 287 – 212 BC), Apollonius of Perga (c. 262 – c. 190 BC), and Euclid (c. 325 – 265 BC), whose Elements became the most important textbook in mathematics until the 19th century, built upon the work of the Hellenic era Pythagoreans.
ulges;What was the British-Russian rivalry called?;"the ""Great Game""";ENTY:other;4721;"This rivalry in Eurasia came to be known as the ""Great Game""."
ulges;What color of light is the human eye most sensitive to?;green;ENTY:other;19594213;For example, green light with a wavelength of 555 nanometres (the approximate wavelength to which human eyes are most sensitive) has a frequency of 7014540000000000000♠540 THz (7014540000000000000♠540×1012 Hz).
Die eisernen Einhoerner;When was the organization Ceres founded?;1989;NUM:date;4518428;"Founded in 1989, Ceres' mission is to ""mobilize investor and business leadership to build a thriving, sustainable global economy""."
ulges;Which piece of legislation quickly followed President Kennedy's assassination?;Civil Rights Act;ENTY:cremat;6677413;This eventually led to LBJ's Civil Rights Act, which came shortly after President Kennedy's assassination.
ulges;How much economic assistance does Namibia get from tourism from hunting? ;$19.6 million US dollars;NUM:count;21292;Sport hunting is also a large, and growing component of the Namibian economy, accounting for 14% of total tourism in the year 2000, or $19.6 million US dollars, with Namibia boasting numerous species sought after by international sport hunters.
ravindran-wedemeyer;On which day of the week did the year 1195 start?;Sunday;NUM:date;40004;Year 1195 (MCXCV) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar.
DieDreier;Which country is divided into two states since 1945?;Korea;LOC:country;16749;"Korea is a historical country in East Asia, since 1945 divided into two distinct sovereign states: North Korea (officially the ""Democratic People's Republic of Korea"") and South Korea (officially the ""Republic of Korea"")."
schwarz-voss;In which country is the Schönbuch Nature Park?;Germany;LOC:country;47720729;This list of hills of the Schönbuch contains an almost complete selection of the hills, high points and spurs or subpeaks of the Schönbuch, a forest region in the south German Keuper Uplands, and of the Schönbuch Nature Park within the German state of Baden-Württemberg.
schwarz-voss;Which canal is connected to Staffordshire, Worcestershire and Dudley Canal?;Stourbridge Canal;LOC:other;4323488;The Stourbridge Canal is a canal in the West Midlands of England. It links the Staffordshire and Worcestershire Canal (at Stourton Junction, affording access to traffic from the River Severn) with the Dudley Canal, and hence, via the Birmingham Canal Navigations, to Birmingham and the Black Country.
roth-schoeneich;How many people live in the province Nuristan?;140,900;NUM:count;457267;It is divided into seven districts and has a population of about 140,900.
schwarz-voss;In which year was Frederick Lynn McNulty born?;1939;NUM:date;39128172;Lt. Col. Frederick “F.” Lynn McNulty (1939 - 2012) was the first Director of Information Systems Security for the U.S. State Department, a pioneer in the field of cybersecurity, and has been characterized as the “father” of U.S. federal information security.
ulges;Who would elect a king in the Roman Kingdom prior to the revolution?;senators;HUM:gr;25816;Before the revolution, a king would be elected by the senators for a life term.
bauer-klamroth;Who was the god of earthquakes in Aztec mythology?;Tepeyollotl;HUM:ind;90325;"In Aztec mythology, Tepēyōllōtl Nahuatl pronunciation: [tepeːˈju˕ːɬːu˕ːtɬ] (""heart of the mountains"", also Tepeyollotli) was the god of earthquakes, echoes and jaguars."
Die eisernen Einhoerner;What is the capital city of New Zealand?;Wellington;LOC:city;4913064;New Zealand's capital city is Wellington, while its most populous city is Auckland.
elmas-hennig;Who made the painting Office in a Small City?;Edward Hopper;HUM:ind;2588960;Office in a Small City is a 1953 painting by the American realist painter Edward Hopper.
Team Triggered;What is the capital of Texas?;Austin;LOC:city;1998;Austin (/ˈɒstᵻn, ˈɔː-/) is the capital of the U.S. state of Texas and the seat of Travis County. It is the 11th-most populated city in the U.S.
boutaleb-rahoui;where is Chalcatzingo located?;Valley of Morelos;LOC:other;3203943;Chalcatzingo is a Mesoamerican archaeological site in the Valley of Morelos dating from the Formative Period of Mesoamerican chronology
roth-schoeneich;Where lies the Bile River?;Guam;LOC:other;23584126;The Bile River is a river in the United States territory of Guam.
ulges;What percent of mortgages purchased by Citigroup in 2006 were defective?;60%;NUM:count;32005855;"His testimony stated that by 2006, 60% of mortgages purchased by Citi from some 1,600 mortgage companies were ""defective"" (were not underwritten to policy, or did not contain all policy-required documents) – this, despite the fact that each of these 1,600 originators was contractually responsible (certified via representations and warrantees) that its mortgage originations met Citi's standards."
ulges;Besides Africa, where did Germany have imperial interests?;the South Pacific;LOC:other;15316;However, in 1883–84 Germany began to build a colonial empire in Africa and the South Pacific, before losing interest in imperialism.
ulges;What is the rate of interreligious marriage in the United Kingdom?;53%;NUM:count;25955086;Rates of interreligious marriage vary widely: In the United States, it is just under 50%, in the United Kingdom, around 53%, in France, around 30%, and in Australia and Mexico, as low as 10%.
